header,body,review_num,review_date,is_mobile_user
Disappointing meal,"A local friend of ours took us to this restaurant and we found the food to be below standard. It was disappointing as we had heard so many great things about it.

The food was cold. The noodles had no flavour and the chicken was...More",20,2019-12-01,True
SUCH good noodles!,"Very good meal. Delicious noodles and yummy chicken. Definitely a must visit! Right next to my hostel, too.",50,2019-12-01,False
Terrible service,"Very bad service, at close to 9pm the staff rudely and repeatedly chased us by saying that they were closing THREE TIMES when we have not finished (and are evidently rushing to finish) our food. If that was going to be a problem then maybe...More",10,2019-12-01,False
Probably cheapest Micheline starred lunch ,"The place has the setting of a fast food restaurant. The views in the kitchen let you see that there is a bit more than that. The menu is very basic with limited options, most based on chicken but also some pork options and veggies....More",40,2019-12-01,True
Cheap affordable Michelin lunch ,"Went to the Chinatown Branch, place was full of locals and tourist. Waited 20 minutes to be served and for me to get my food. Prices are very good. Spent 8 sing. You will have to share tables if you necessary.
The soy chicken I...More",30,2019-11-01,True
Bibendum got this one wrong methinks,"Had dinner here as it was recommended to us by the hotel as the cheapest Michelin starred restaurant in the World.

It was certainly cheap yet I have no ide how it got a Michelin Star!

It was still an experience though and probably one...More",30,2019-11-01,False
Cold Food...Bad Service,"Me and my mum visited Hawker Chan after seeing that it had been awarded a Michelin star. 

First impressions didn't seem that great, the menu didn't have many options and the server was on his phone for a good 5 minutes before he served us...More",10,2019-11-01,True
Not good,I was attracted by the information about this place being the first street food awarded a Michelin star but the quality of the meal was really bad. A small amount of chicken - mainly skin and cartilage - and noodles. Everything cold and without taste....More,10,2019-11-01,False
Amazing first time Michelin Restaurant,"My first time at Michelin Star restaurant was amazing a humble& simple outlet, prompt service though the queue got me worried it kept moving and serving people. The place is simple in terms of decor, we ordered a Soy Chicken, roast pork, Aloe vera jelly...More",50,2019-06-01,False
"Very good, but a Michelin star?!","There are several Hawker Chan locations, but this one on Smith Street is good because it is self-contained and, most importantly, air conditioned!

The soy chicken and roast pork were very good, and the service very quick and efficient.  That being said, I have been...More",40,2019-11-01,True
"Tasty street food, friendly staff","I don‘t know why snobbish people are going on about wet plates, no napkins and bone bits in the chicken ... we had a lovely little meal at this street food venue and loved it... I have dined at several Michelin-starred restaurants but none of...More",50,2019-11-01,True
Manage your expectations and enjoy good food in a rather sterile atmosphere,"Hyped as the cheapest Michelin Star restaurant in the world to be honest I could not resist! We arrived around 11 30am for lunch. There were no queues and plenty of tables.
We ordered the chicken rice, paid at the counter and were given a...More",40,2019-10-01,False
A bit of a disappointment to be honest,"After reading dozens of reviews and watching the same amount of YouTube videos of over enthusiasts local going crazy for this place I was optimist. The reality was disappointing though. To queue for so long for something so mediocre want what I expected, but that...More",30,2019-09-01,True
Tasty springy noodles,"Tasty springy noodles with succulent pieces of charsiew and roasted meat, with satisfying sambal chili and sliced green chilis",50,2019-10-01,True
Choking hazard - Zero stars if I could,"For people who don't know, this place has been SOLD and is no longer owned by its original owner but rather an investment group. That's fine, but the food quality has gone from decent + cheap, to horrible + no longer cheap (price hiked close...More",10,2019-10-01,False
Overrated,"Being a Malaysian who are used to eating all the chicken rice back home, I am so looking forward to trying this Michelin starred restaurant.  It located in the smith street.  It is air cond.  The menu is basic and I ordered the soya sauce...More",10,2019-10-01,False
reasonable to be fair,"Came here as many others have, based on the ""michelin"" rating. The food was OK - had the soy chicken. Assembly line type production with queues, but you basically get what you pay for as it is cheap.  Suspect that the standards may have deteriorated...More",30,2019-10-01,False
Michelin food at 5 Singapore dollar/plate,"Security guards outside most likely to control the crowd it attracts, line up till outside and at the stall in the market hall even longer, this place is special, the food is nice, tasty and moving exceptionally fast, amazing how they keep up the paste...More",50,2019-10-01,False
Hawker Chan not fantastic,Had the chicken rice at this 1 Michelin starred hawker restaurant in Singapore. The original hawker stall had run out of food and is reportedly better than the restaurant. I was expecting something really special but it wasn't. At least we could say we went...More,30,2019-10-01,False
quick cheap reasonable quality meal,"had a late lunch around 2:30pm so no queues to worry about. BEWARE of longer queues at normal times. the pork was as expected, the dumplings were average given how much they make of their michelin star. still lunch was $16 so really you cant...More",40,2019-10-01,False
Good but...,"The food itself was ok, but nothing special. considering the award they have I was expecting some fingers licking experience and it wasn't. Honestly I think there are many other places on the same level or even better than this, so can't really go up...More",30,2019-10-01,True
Great food in a comfy environment,Visited several times and tried different Dishes everytime. Roast pork was favourite but soy sauce chicken was also good. Unreliable price.,50,2019-09-01,False
hawker chan meal,quite busy restaurant in terminal 21 restaurant section. when i visited was not too  busy only 5 min wait for food after ordering,50,2019-08-01,False
I feel for all the other hardworking chef’s trying to achieve the accolade,"Ok so here is my humble opinion, we tried to go to the restaurant at the end of Smith street but it was closed for 4 days for refurbishment so we were sent into the Chinese complex opposite where it it a hawker stall we...More",20,2019-09-01,False
Not the original but pretty amazing,"I heard about this coveted Michelin star meal- -Soya Sauce Chicken at Liao Fan Hawker Chan for a long time and had to give it a try. In case you don't know, Singaporean's consider this dish to be a National Dish. You definitely need to...More",50,2019-09-01,False
Tourist trap ,This is a tourist trap. We first went to the Smith St outlet and found it closed and were redirected to the Funan complex. It was easy enough to get to MRT and when we got there the service was efficient and fast. The food...More,10,2019-09-01,True
Chicken that melts in your mouth,We went on a Monday morning slightly before the official opening time of 10.30am and there was already a queue. They started attending to orders only at 11am. By the time we got our food it was close to 12 noon. The roast meat is...More,50,2019-09-01,True
Great Value,"Seated near the Chinatown Food Complex, Hawker Chan was one of my favorite meals visiting Singapore. 

Service was really fast when we arrived there around 3pm on a Friday. The restaurant was nice and air conditioned which was a nice change from visiting all the...More",40,2019-09-01,True
How lucky to walk past and find,"Out walking and saw this place, had heard about a hawker getting a Michelin star but to stubble across it, lucky. Had brunch, their signature meal, no wait other than they have to cook it. Very good, worth the visit any time of day. Mouth...More",50,2019-09-01,True
Over Rated,To be perfectly honest I ate at Hawker stalls that Tasted better. I can say now I ate at a Michelin Star Hawker Stan’s but not sure it was worth the 20 minute wait in line?,30,2019-09-01,True
Awesome Meal,How can anyone say a negative thing about a Michelin Star Rated restaurant that serves their signature dish for $2.80 Sing Dollars. Yes it is a Hawker stand and the food is amazing. I had The Soya Sauce Chicken Rice and it was amazing. Chicken...More,50,2019-09-01,True
Enjoyed my dining experience,"Despite the negative reviews, I honestly enjoyed my stay here. I think the food is excellent--the most succulent and flavorful chicken and pork dish I have ever tasted. There was quite a crowd, but for me it was worth it. Will definitely comeback when I...More",50,2019-06-01,False
Best Hawker Stall,"Hawker Chan is a Michelin star food stall and for good reason. While the line might be long at times, it is well worth the wait for a $2.80 meal that will leave you wanting more. Could not recommend more!",50,2019-09-01,False
Hawker Chan@Funan,"I passed by the new outlet@Funan and decided to try out the food as it was not so crowded as compared to others outlets.
We ordered 2 set meals comprising of soya sauce chicken and roasted pork and char siew.
The price was reasonable and...More",40,2019-09-01,False
"Michelin star it has got, excellent food it is not...","Our local Singaporean friend invited us to eat at Hawker Chan for lunch to give our family a “Michelin experience” (partly in jest). Here are my afterthoughts...

Firstly, the the crowds were not as dire as locals tell me, which brought one worry out of...More",30,2019-09-01,False
Nothing special,"If you like rice, cold chicken and soy sauce then you'll like this place. It simply is not worth the hype. A few years ago, before it became commercialised - expanding all over the world - including London, this street hawker food may have been...More",20,2019-07-01,False
THE place for soy sauce chicken,"You have to be impressed by a place that boasts a Michelin star chef's menu, and judging by the crowd here on the two occasions we visited it, it is a popular venue. Did the food stack up once  we sat down? Yes it did,...More",40,2019-08-01,False
"Cool to try, not worth the hype","I came here because of the Michelin Star and the hype. Now granted, I went to the newer restaurant location in Chinatown, and not the actual hawker stall (it was closed the day we went), but I doubt it truly matters for overall food experience....More",30,2019-08-01,True
Unfortunatelly...poor,I went there bacause of Michelin star in a past...and nowadays is just not worth to go there...i was really dissapointed,20,2019-07-01,True
"Go for the experience, not the food","First of all, it’s a Michelin Star meal for like 5 bucks.  Second, it’s in Chinatown, which is kind of cool.  Yes it’s packed and the food is no big deal, but the AC works well and you could get lucky and find a seat....More",30,2019-08-01,True
Great value!,A Michelin star restaurant where 2 meals cost £10! Food was great quality hawker fare - worth a visit.,50,2019-08-01,True
Over rated,Poor service and too crowded. An over rated restaurant that serve michelin stared chicken rice that only tasted average. Disappointing.,20,2019-06-01,False
Visited the Funan branch ,"We had seen snaking queues at the Smith Street market a few years ago but didn't try. Went to the Funan branch for lunch a couple of weeks ago and it was quite busy. You order and pay at the counter, then go grab the...More",30,2019-07-01,True
Awesome pork ,"I know this place is famous for its chicken, and the chicken was quite good. But to me both the BBQ and roast pork were better and really delicious.",40,2019-07-01,True
Bad choise,Unfortunatelly I ordered the famous dish which was totally uncooked...half of my (little) portion had blood...the rise was good... Generally I didn' t find any reason for michelin star...,20,2019-07-01,True
Authentic Singaporean food ,"We heard about this place, the first hawker to be awarded a Michelin Star and is definitely a must! 
You can even find a vegetarian dish (Thai style tofu) which was supper yummy... prices are around 5$",40,2019-07-01,True
Good taste but too many small bones,We have ordered 3 portions of soya chicken and got very surprised with all small bones. As you can see from the pictures in gallery that you can get any part of the chicken when ordering that famous dish. We got some wings parts. That...More,30,2019-07-01,False
Overpriced and bad service,Went here for lunch to see what the fuss is about. Overpriced for what it is and they can’t give chili to you if you order the rice meal because they say it’s only for noodles?! What?! Real hawker fare is so much better and...More,10,2019-07-01,True
Nothing special ,The Rice and Chicken signature dish is good but nothing special. What would you expect for 5 SGD? I think the Michelin star is meant as a political statement for the Protection of hawker kitchens in SG!,30,2019-07-01,True
Starred??,"I am not sure whether to believe it has a Michelin star but it is worth a try. Slick service -- I had the soya chicken with rice. Fresh and tasty but not high cuisine. Table rotation is fast, a big like McDonalds, and it...More",30,2019-07-01,False
Michelin star?,My husband and I wanted to try this place as we’d heard all about the Michelin star and the fact that it’s the cheapest place in the world to eat Michelin star quality food.  We have eaten in other Michelin starred restaurants in Europe and...More,30,2019-07-01,False
Great food but luke warm!,"We went here after reading some rave reviews. It's not a restaurant, it's a perch on a stool place where you eat quickly. 
We had the recommended Soya Sauce Chicken Noodle. Tasted wonderful but I'm not used to eating cold food when it's supposed to...More",40,2019-06-01,False
Terrible soya chicken ,"It doesn't deserve a Michelin star or any star for that matter. 
Chicken was cold and rubbery and mostly skin and bone.Not juicy at all.
You are far better going to Maxuell food centre.",10,2019-07-01,True
Not Deserve the Michelin Star 1 Hype,"Oh, it doesn't deserve the hype in my opinion. I ordered chicken thigh rice. The flesh itself is not the most tender one, it's only mediocre to me. There's no significant taste of chicken. 

In my hometown Hong Kong, I can buy soya sauce chicken...More",30,2019-06-01,True
Food was just Fine but Nothing Special,I visited 3 different hawker places and eat there everyday for 4 day stay. I was so excited to try Hawker Chan on my latest visit to SG after 13 yrs. Hawker Chan is a Michelin starred Hawker Stall famous for its roast pork and...More,30,2019-02-01,True
A Must,"We wanted to visit Hawker Chan when we were last in Singapore 8 months ago but the line was put the door and down  the street, this time we went earlier around 11.30am and this place was nearly full then  we ordered our meals soy...More",40,2019-06-01,True
Super food! Lived up to the hype!,"I have heard from many people that Hawker Chan is a must try in Singapore.. Apparently a Michelin Starred restaurant which is hawker style. Basically no frills, you just order your dish and pay for it at the cashier, then collect at the counter.  The...More",50,2019-06-01,False
Late Lunch,We had had a busy day exploring the Gardens by the Bay and whilst there are many good eateries down by MBS we favoured getting more authentic food and Hawker Chan had been recommended by a local friend as something we should try if we...More,40,2019-05-01,False
Michelin starred restaurant,I had the famous soya chicken rice. It was fabulous. This little restaurant in Chinatown will not disappoint. You will be able to escape the heat of the day and get a quick meal. I was here on a Monday around 11:30. The lunch crowd...More,50,2019-06-01,True
A must visit in Singapore! ,"We went to Singapore as backpackers and feared our budget wouldn’t allow us to eat any of the amazing food the city has to offer. 

We were so impressed by Hawker Chan! We had a selection of rice, noodles, pork and veggies - all a...More",50,2019-06-01,True
Cheapest Michelin Star. Nice Meal,"As a westerner, sometimes it's difficult to eat in Singapore due to the culture differences, but Hawker Chan is a good place to eat a good singaporean food with good prices.

We know this restaurant itself comes from a Hawker centre and was opened after...More",40,2019-03-01,False
Nice food with Michelin-Starred,"Came with a friend from overseas. Personally, this was my first time. We only tried the chicken. Meat is tender and well marinated. With this kind of price, eating in an air-conditional dining place, there is nothing i could complaint. 
You may have difficulties to...More",50,2019-05-01,True
definielty go,"We loved the hawker centres, we tried a few different dishes, it was great, there is a great buzz around the plsce and the food is superb and greta value for money",40,2019-05-01,False
Stick with the chicken,"The soy chicken was fantastic but that's about it. 
The char siew & rost pork were both very dry and hard. Boiled rice was on the dry side too and the noodles not much better. 
I expected so much better than what we got considering...More",30,2019-05-01,True
The 1-Michelin Star meal with an incredible story,"I don't think I will ever experience a 1-Michelin star meal so cheap. Let me do the play-by-play first. There is a line up to order at anytime during opening hours. Sometimes long, sometimes not so much. But the real challenge was finding a table...More",40,2019-04-01,False
Overrated.,We were hoping to experience the original Hawker Chan on our recent trip to Singapore but the food mall was closed for renovations. Apparently very common in SG in order to control hygiene and rodents. So we ended up at their air conditioned outlet across...More,30,2019-05-01,False
Amazing food,"The food was stunning, sadly the service was somewhat lacking, still this is one not to miss whilst in Singapore and is probably the cheapest Michelin 🌟 food you will ever eat .",50,2019-05-01,True
Quality Assured at Chef Chan,Great tasting roasted meat and soy sauce chicken. I last ate it before it got it Michelin Star. Pricing is still fair and the soy sauce chicken still retains the slightly herbal taste while the meat absorbs the slight sweetness and saltiness of the soy...More,50,2019-05-01,True
Hawker Chan is so good,"Sunday lunch at Hawker Chan
In Chinatown Singapore is full of fun and delicious. Full pack wait in Q. Local as well as visitor and westerners are enjoyed the authentic chinese dishes mainly the chicken and pork rice and noodles. Come and enjoy it",40,2019-05-01,True
Terrible food & horrible service,"This is truly an establishment UNWORTHY of a Michelin star. Not only the food (char siew & roast pork rice) is dry and deviod of flavour, a simple request for a couple of slices of cucumber to enhance the appearance of an otherwise totally unpresentable...More",10,2019-05-01,False
"Umm, seriously Michelin ? ","Don’t get the hype here, had two dishes, both were mediocre at best. 
Dining room is messy, service is okay
Much better options in the area.",20,2019-05-01,True
SORRY MICHELIN !,"Doing a food world tour for 2 months, I wanted to get a chance to eat at Hawker Chan while in Singapore, unfortunately I was really desapointed, I feel that the quality of the food ( which by the way you can get better on...More",20,2019-04-01,False
hawker michelin food,the soya chicken that have michelin is awesome. their roasted pork noodle is also good. try to come before lunch or dinner time to avoid the long queue.,50,2019-04-01,True
Totally disappointed with Hawker Chan - Soya Chicken Rice/Noodle,"We should of listened to the reviews about his Michelin 1 Star Chicken/Soya Rice/Noodle.  I sadly believe that if those awarding these Stars were to come back, it would be stripped off him immediately.  Seems to of lost it purpose of how Chan actually started...More",10,2019-05-01,False
Michelin star?,"This is a very popular restaurant at the top of Smith Street in close proximity to many other establishments, if you’re not here by 11.30 you’ll have to queue as it’s very popular, food was nice, didn’t think it was anything to shout about &...More",40,2019-05-01,True
Really enjoyable,It is a simple place in Chinatown (Chinatown actually scares me a little bit) that is cheap and I must say DELICIUS. I do recomend.,40,2018-09-01,True
Only the roast pork is nicd,"we ordered everything on the menu as you can see from the pictures! 

Chicken is pretty lousy as are the ribs so just order the honey roasted pork with rice or noodles and off you go 👍

Get the Thai style tofu and vegetables  if...More",30,2019-04-01,True
Authentic Chinese fastfood Michelin Star,"We went to visit Chinatown in Singapore with the idea to walk around the food street, but targeting this restaurant. We wasn't disappointed at all. The food was just great, very authentic and simple, at the same time somewhat unique layers if taste.

For those...More",50,2019-04-01,True
The chicken is good !!,"We finally tried Hawker Chan and it is so-so.  Their business is really good and there was already a queue at 11:45AM onwards.  We tried a variety of items and the chicken is good, not dry and tender.  Other than that, nothing spectular and I...More",30,2019-04-01,True
Good value,"Good value but the establishment is overrated.
Food is OK but you can get a lot better from the street stalls further up the road",30,2019-03-01,False
"Well, Hawker Chan made history... and we wanted to share it with him.","Tell me, if it was near, wouldn't you try it!  You bet you would, or you're not a real foodie!   And, I wasn't disappointed, inasmuch as it was pretty much what I'd imagined....

The lines were long.  You ordered the food at the restaurant's counter;...More",40,2018-11-01,False
"Michelin, you’re having a laugh","Bog standard hawker food that you can get in 100 other places in Chinatown. Yes, great value at around £3 for a piece of bony chicken and rice but I thought Michelin was about quality, style, provenance and skill in the kitchen. This little place,...More",30,2019-04-01,False
bit overrated...,Came here with high expectations. Left a bit disappointed. Can't imagine how they earned the 1 star. Was early so no queue. Liked that they have self service as it would speed up if there is a queue. However you have to wait & take...More,30,2018-11-01,False
It'e everything that you need it to be.,"Yay, visiting Singapore!  $4 Michelin meal!

Listen, this place is a far cry from the original stand, and yes, it's pretty McDonalds-y, but you get the bargain of your purchase.  For $4 SGD, you get a very good taste of the iconic chicken.  The pork...More",40,2019-03-01,False
Fresh cheap excellent China Town food,Go for any of the dishes as they are all excellent and amazing value for money. Have with some coconut water to wash down the delicious food. Then take a walk around china town to buy a sticky sweat treat !,50,2019-04-01,False
Why Michelin Star?,"We were shopping in Chinatown and joined the queue of a dozen plus people at 11:50 to order two S$5 Soy chicken and rice lunch. Our wait was about 10 minutes in the queue, given a ticket and our number and then picked up our...More",30,2019-04-01,True
Why all the hype?,"Decidedly mediocre.  Very cheap, however, long queues, cold food and crowded tables.  To say this place is Michelin starred calls into question the Michelin Guide, or at the very least its inspectors!",20,2019-03-01,True
Rushed staff equals inconsistent product.,Michelin star food for bargain pricing -- who can resist such?  We sought out Hawker Chan for a meal having seen the YouTube clip where he talks about his path to where he is and how he received the distinction for his now uber famous...More,30,2019-03-01,False
Disappointing ,"Perhaps I expected too much but having spent the last two weeks in Malaysia and Singapore this place wouldn’t be in my top 15-20 hawker food places I’ve been. There are probably 10 places better round the corner in the Maxwell St hawker centre. 
Chicken...More",20,2019-03-01,True
Not the best,I first walked past this place as there were not so many persons in the evening. Ordering was very fast but I needed to wait around 10 minutes for food to be prepared. If you rate your experience based on ordering and service and how...More,40,2019-03-01,False
Worth seeking out,"Like a lot of people we read about this getting a Michelin star so thought we'd go have a look.

We got there early (around 11) so were very early for dinner. There was still a queue although nothing bad (maybe 10 mins wait for...More",40,2019-03-01,False
chicken succulent - sauce ok - excellent experience,So yes - it's a Michelin rated hawker restaurant and the majority of people eating there are there just to say they've been there (including me) however after having lived in Singapore 2 years and eating chicken and rice in many many food stalls and...More,40,2018-10-01,False
